                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1829,                 1.1709,                 1.0473,                0.51148,                0.34801,                0.32545,                0.20905,                 1.3986,                 1.5502,                  1.157,              0.0001641,              0.0001641,              0.0001641
                     76,                 1.1783,                 1.1763,                 1.0481,                0.48452,                0.34863,                0.32059,                0.20641,                 1.3983,                 1.5747,                 1.1519,             0.00015494,             0.00015494,             0.00015494
                     77,                 1.1974,                 1.1817,                  1.054,                0.49645,                0.35589,                0.32623,                0.21176,                 1.3932,                 1.5413,                 1.1523,             0.00014577,             0.00014577,             0.00014577
                     78,                 1.1487,                  1.144,                 1.0402,                0.46836,                0.37662,                0.33183,                0.21679,                 1.3919,                 1.5446,                 1.1537,             0.00013661,             0.00013661,             0.00013661
                     79,                 1.1836,                 1.1475,                 1.0504,                0.39108,                0.36573,                0.32048,                0.20599,                 1.3884,                 1.5516,                 1.1519,             0.00012745,             0.00012745,             0.00012745
                     80,                 1.1609,                  1.134,                 1.0356,                0.40064,                0.36396,                0.32825,                0.21604,                  1.379,                 1.5422,                 1.1483,             0.00011829,             0.00011829,             0.00011829
                     81,                 1.1885,                 1.1347,                 1.0564,                0.35479,                 0.3653,                0.32396,                0.20962,                  1.395,                 1.5591,                 1.1554,             0.00010912,             0.00010912,             0.00010912
                     82,                 1.1627,                 1.0934,                 1.0441,                 0.3667,                0.34697,                0.32256,                0.20696,                 1.3981,                 1.5535,                 1.1527,              9.996e-05,              9.996e-05,              9.996e-05
                     83,                 1.1543,                 1.0796,                 1.0427,                0.50833,                0.33592,                 0.3349,                0.21618,                 1.3878,                 1.5513,                 1.1527,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     84,                 1.1426,                 1.0633,                  1.039,                 0.4716,                0.36799,                0.33106,                0.21447,                 1.3994,                  1.555,                  1.156,             8.1634e-05,             8.1634e-05,             8.1634e-05
                     85,                 1.1413,                 1.0595,                 1.0419,                0.52784,                0.33374,                0.33013,                 0.2135,                 1.3886,                 1.5386,                 1.1504,             7.2471e-05,             7.2471e-05,             7.2471e-05
                     86,                 1.1435,                 1.0573,                 1.0411,                0.50659,                0.34473,                0.32676,                 0.2103,                 1.3919,                 1.5396,                 1.1502,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     87,                 1.1361,                 1.0507,                 1.0374,                0.50209,                0.34459,                 0.3311,                0.21482,                  1.387,                 1.5373,                 1.1454,             5.4145e-05,             5.4145e-05,             5.4145e-05
                     88,                 1.1343,                 1.0427,                 1.0328,                0.48948,                0.35455,                0.33192,                0.21647,                  1.388,                 1.5528,                 1.1482,             4.4982e-05,             4.4982e-05,             4.4982e-05
                     89,                 1.1238,                 1.0287,                 1.0324,                0.38439,                  0.407,                0.33615,                0.22009,                 1.3872,                 1.5527,                 1.1497,             3.5819e-05,             3.5819e-05,             3.5819e-05
                     90,                 1.1201,                 1.0334,                 1.0348,                 0.3906,                0.39694,                 0.3361,                0.21923,                 1.3889,                 1.5554,                 1.1494,             2.6656e-05,             2.6656e-05,             2.6656e-05
